synset_id,"synset_word",anto_action_id,"anto_action_word"
52,"अप्रयत्नतः",53,"प्रयत्नतः"
53,"प्रयत्नतः",52,"अप्रयत्नतः"
1179,"दयापूर्वक",1170,"निर्दयतापूर्वक"
1170,"निर्दयतापूर्वक",1179,"दयापूर्वक"
1532,"दूर",373,"पास"
1208,"बिनमाँगे",1207,"माँगकर"
1208,"अयाचिततः",1207,"याचिततः"
2479,"प्रसन्नतापूर्वक",1093,"अप्रसन्नतापूर्वक"
13205,"अंदर",7264,"बाहर"
